Rating,OppRating,Result,Termination,Datetime,Location
1398,1455,L,time,13/03/2023 18:08,United States
1389,1415,L,time,13/03/2023 14:01,Ukraine
1397,1439,L,time,12/03/2023 19:58,United States
1404,1414,L,checkmate,12/03/2023 14:38,United Kingdom
1412,1415,L,checkmate,12/03/2023 14:37,Sweden
1412,1417,W,time,11/03/2023 22:12,United States
1403,1344,W,time,11/03/2023 19:36,Ukraine
1402,1382,L,time,11/03/2023 18:54,Serbia
1404,1409,W,time,11/03/2023 17:44,United States
1396,1402,L,time,11/03/2023 16:52,Spain
1404,1382,W,time,11/03/2023 16:50,Canada
1405,1395,L,time,11/03/2023 16:01,Germany
1414,1424,W,time,11/03/2023 15:58,Mexico
1405,1373,W,time,11/03/2023 14:56,South Korea
1387,1361,L,time,11/03/2023 13:28,Latvia
1396,1433,L,time,11/03/2023 13:09,India
1403,1382,L,time,11/03/2023 13:06,Belgium
1405,1399,W,resignation,11/03/2023 02:19,Canada
1397,1421,W,time,11/03/2023 02:11,Saudi Arabia
1388,1441,W,time,11/03/2023 01:55,Morocco
1386,1395,W,checkmate,10/03/2023 23:34,United States
1363,1413,L,time,10/03/2023 22:31,United States
1370,1308,W,time,10/03/2023 22:27,Italy
1355,1358,W,time,10/03/2023 21:37,Sweden
1347,1335,L,time,10/03/2023 21:33,Italy
1363,1286,W,time,10/03/2023 20:02,Switzerland
1357,1327,W,time,10/03/2023 18:07,Norway
1347,1370,W,time,10/03/2023 16:24,Belgium
1346,1291,W,resignation,10/03/2023 15:17,United Kingdom
1339,1345,L,checkmate,10/03/2023 13:11,French Polynesia
1339,1399,L,checkmate,09/03/2023 22:43,United Kingdom
1346,1398,L,time,09/03/2023 22:09,England
1353,1326,W,time,09/03/2023 21:35,United States
1345,1364,L,time,09/03/2023 18:54,Canada
1344,1369,W,time,09/03/2023 18:44,United States
1335,1338,W,time,09/03/2023 18:37,Belgium
1319,1329,W,time,09/03/2023 17:23,India
1310,1341,L,time,09/03/2023 14:42,Canada
1311,1319,W,time,08/03/2023 17:22,Brazil
1310,1314,W,checkmate,08/03/2023 16:14,United States
1302,1351,L,time,08/03/2023 14:16,Spain
1325,1298,L,time,08/03/2023 12:12,Brazil
1345,1308,W,time,07/03/2023 23:00,United States
1337,1400,L,checkmate,07/03/2023 22:28,Italy
1344,1305,W,time,07/03/2023 22:17,Bahrain
1337,1340,W,resignation,07/03/2023 21:36,France
1328,1334,W,resignation,07/03/2023 17:26,Morocco
1319,1296,W,checkmate,07/03/2023 16:50,Turkey
1318,1368,L,time,06/03/2023 19:59,France
1325,1271,W,time,06/03/2023 19:08,Albania
1319,1292,W,time,06/03/2023 18:38,Germany
1311,1332,L,checkmate,06/03/2023 18:33,Denmark
1297,1256,W,time,06/03/2023 15:48,Canada
1290,1251,W,checkmate,06/03/2023 14:21,Philippines
1283,1252,L,time,06/03/2023 13:53,United States
1300,1322,W,checkmate,06/03/2023 12:37,Canada
1291,1319,L,time,06/03/2023 11:44,India
1299,1267,W,resignation,06/03/2023 11:22,India
1299,1300,L,time,06/03/2023 06:39,Spain
1300,1349,L,checkmate,05/03/2023 18:16,Mexico
1291,1298,L,time,05/03/2023 14:32,Brazil
1299,1292,W,time,05/03/2023 13:34,Nigeria
1298,1280,L,time,05/03/2023 11:59,International
1307,1333,L,time,04/03/2023 22:44,Portugal
1306,1334,L,checkmate,04/03/2023 21:46,Peru
1337,1343,W,time,04/03/2023 18:44,North Macedonia
1336,1343,L,checkmate,04/03/2023 18:32,Vietnam
1344,1339,W,time,04/03/2023 18:30,Uzbekistan
1324,1361,L,time,04/03/2023 15:56,India
1332,1372,L,time,04/03/2023 14:00,Lebanon
1339,1387,L,time,03/03/2023 23:53,England
1353,1366,L,time,03/03/2023 23:41,United States
1361,1392,L,time,03/03/2023 23:39,Mauritius
1369,1408,L,time,03/03/2023 21:56,United States
1368,1421,L,checkmate,03/03/2023 20:31,Germany
1383,1379,W,time,03/03/2023 19:57,Finland
1368,1389,L,checkmate,03/03/2023 19:23,Turkey
1368,1349,W,time,03/03/2023 19:18,Jordan
1360,1338,L,time,03/03/2023 18:46,Turkey
1361,1378,L,time,03/03/2023 18:12,Brazil
1361,1342,L,time,03/03/2023 18:08,Serbia
1354,1379,W,checkmate,03/03/2023 17:57,United States
1345,1400,L,time,03/03/2023 17:52,United States
1351,1387,L,time,03/03/2023 16:43,Israel
1359,1390,L,time,03/03/2023 16:37,Turkey
1367,1406,L,time,03/03/2023 14:27,Netherlands
1367,1352,L,checkmate,03/03/2023 14:22,Croatia
1382,1362,L,time,03/03/2023 13:44,Iran
1384,1363,W,time,03/03/2023 13:33,France
1369,1395,W,time,03/03/2023 13:29,Brazil
1360,1377,L,time,03/03/2023 13:27,Latvia
1375,1395,W,resignation,03/03/2023 13:17,Seychelles
1376,1354,W,checkmate,03/03/2023 12:38,Austria
1368,1447,L,checkmate,02/03/2023 20:44,Nigeria
1382,1411,L,time,02/03/2023 20:40,United States
1382,1387,W,checkmate,02/03/2023 20:36,India
1366,1402,L,time,02/03/2023 20:33,Brazil
1364,1369,L,time,02/03/2023 20:23,Netherlands
