Rating,OppRating,Result,Termination,Datetime,Location
1398,1455,L,time,13/03/2023 18:08,United States
1405,1411,W,time,13/03/2023 17:06,United States
1396,1354,W,checkmate,13/03/2023 14:14,North Macedonia
1389,1415,L,time,13/03/2023 14:01,Ukraine
1397,1439,L,time,12/03/2023 19:58,United States
1404,1383,D,stalemate,12/03/2023 18:49,Russia
1404,1414,L,checkmate,12/03/2023 14:38,United Kingdom
1412,1415,L,checkmate,12/03/2023 14:37,Sweden
1420,1418,W,checkmate,12/03/2023 01:51,United States
1412,1417,W,time,11/03/2023 22:12,United States
1403,1434,L,time,11/03/2023 22:02,United States
1411,1391,W,time,11/03/2023 20:49,United States
1403,1394,W,checkmate,11/03/2023 20:38,Peru
1395,1423,L,time,11/03/2023 20:18,United States
1403,1344,W,time,11/03/2023 19:36,Ukraine
1396,1502,L,time,11/03/2023 19:32,Peru
1402,1382,L,time,11/03/2023 18:54,Serbia
1411,1350,W,resignation,11/03/2023 18:53,United States
1404,1409,W,time,11/03/2023 17:44,United States
1396,1402,L,time,11/03/2023 16:52,Spain
1404,1382,W,time,11/03/2023 16:50,Canada
1396,1492,L,time,11/03/2023 16:39,Peru
1405,1395,L,time,11/03/2023 16:01,Germany
1414,1424,W,time,11/03/2023 15:58,Mexico
1405,1373,W,time,11/03/2023 14:56,South Korea
1397,1418,D,stalemate,11/03/2023 14:44,France
1396,1383,W,time,11/03/2023 14:30,United States
1388,1429,L,time,11/03/2023 14:24,Germany
1395,1389,W,time,11/03/2023 14:17,Iraq
1387,1413,L,checkmate,11/03/2023 14:17,Colombia
1395,1387,W,resignation,11/03/2023 13:33,France
1387,1361,L,time,11/03/2023 13:28,Latvia
1396,1433,L,time,11/03/2023 13:09,India
1403,1382,L,time,11/03/2023 13:06,Belgium
1412,1373,W,abandoned,11/03/2023 02:44,United States
1405,1399,W,resignation,11/03/2023 02:19,Canada
1397,1421,W,time,11/03/2023 02:11,Saudi Arabia
1388,1441,W,time,11/03/2023 01:55,Morocco
1378,1404,L,checkmate,11/03/2023 01:38,United States
1386,1395,W,checkmate,10/03/2023 23:34,United States
1377,1335,W,time,10/03/2023 23:25,United States
1370,1321,W,time,10/03/2023 23:20,Brazil
1363,1391,L,time,10/03/2023 22:39,Spain
1371,1337,W,checkmate,10/03/2023 22:35,Serbia
1363,1413,L,time,10/03/2023 22:31,United States
1370,1308,W,time,10/03/2023 22:27,Italy
1363,1350,W,time,10/03/2023 22:01,Hong Kong
1355,1358,W,time,10/03/2023 21:37,Sweden
1347,1335,L,time,10/03/2023 21:33,Italy
1356,1411,L,time,10/03/2023 21:30,Brazil
1363,1286,W,time,10/03/2023 20:02,Switzerland
1356,1370,D,material,10/03/2023 18:46,India
1356,1320,D,repetition,10/03/2023 18:34,Norway
1357,1327,W,time,10/03/2023 18:07,Norway
1349,1412,L,time,10/03/2023 17:51,United States
1356,1371,W,time,10/03/2023 17:45,Ukraine
1347,1370,W,time,10/03/2023 16:24,Belgium
1338,1358,L,checkmate,10/03/2023 15:52,Brazil
1346,1291,W,resignation,10/03/2023 15:17,United Kingdom
1339,1345,L,checkmate,10/03/2023 13:11,French Polynesia
1347,1347,W,time,10/03/2023 13:00,India
1339,1399,L,checkmate,09/03/2023 22:43,United Kingdom
1346,1398,L,time,09/03/2023 22:09,England
1353,1326,W,time,09/03/2023 21:35,United States
1345,1340,L,checkmate,09/03/2023 21:23,Indonesia
1354,1375,W,checkmate,09/03/2023 21:06,United States
1345,1332,W,checkmate,09/03/2023 19:47,Argentina
1337,1346,L,time,09/03/2023 19:42,Switzerland
1345,1364,L,time,09/03/2023 18:54,Canada
1353,1373,W,checkmate,09/03/2023 18:48,Brazil
1344,1369,W,time,09/03/2023 18:44,United States
1335,1338,W,time,09/03/2023 18:37,Belgium
1327,1314,W,time,09/03/2023 18:05,Spain
1319,1329,W,time,09/03/2023 17:23,India
1310,1341,L,time,09/03/2023 14:42,Canada
1318,1265,W,time,08/03/2023 17:28,United States
1311,1319,W,time,08/03/2023 17:22,Brazil
1302,1323,L,time,08/03/2023 16:50,United States
1310,1314,W,checkmate,08/03/2023 16:14,United States
1302,1351,L,time,08/03/2023 14:16,Spain
1309,1317,L,time,08/03/2023 13:59,Tanzania
1317,1337,L,time,08/03/2023 12:44,International
1325,1298,L,time,08/03/2023 12:12,Brazil
1334,1302,L,time,08/03/2023 12:05,India
1343,1323,L,time,08/03/2023 11:55,France
1352,1316,W,time,08/03/2023 11:37,Egypt
1345,1308,W,time,07/03/2023 23:00,United States
1337,1400,L,checkmate,07/03/2023 22:28,Italy
1344,1305,W,time,07/03/2023 22:17,Bahrain
1337,1340,W,resignation,07/03/2023 21:36,France
1329,1341,W,resignation,07/03/2023 21:34,Turkey
1320,1318,L,time,07/03/2023 20:11,Bulgaria
1328,1334,W,resignation,07/03/2023 17:26,Morocco
1319,1296,W,checkmate,07/03/2023 16:50,Turkey
1311,1368,L,time,07/03/2023 16:18,United States
1318,1368,L,time,06/03/2023 19:59,France
1325,1271,W,time,06/03/2023 19:08,Albania
1318,1298,D,repetition,06/03/2023 19:02,United States
1319,1292,W,time,06/03/2023 18:38,Germany
1311,1332,L,checkmate,06/03/2023 18:33,Denmark
1319,1309,W,resignation,06/03/2023 18:15,United Kingdom
1311,1263,W,time,06/03/2023 17:46,United Kingdom
1304,1266,W,time,06/03/2023 16:40,Italy
1297,1256,W,time,06/03/2023 15:48,Canada
1290,1271,L,time,06/03/2023 15:29,United States
1299,1307,W,resignation,06/03/2023 14:51,Mexico
1290,1251,W,checkmate,06/03/2023 14:21,Philippines
1283,1252,L,time,06/03/2023 13:53,United States
1292,1302,L,time,06/03/2023 13:35,United States
1300,1322,W,checkmate,06/03/2023 12:37,Canada
1291,1319,L,time,06/03/2023 11:44,India
1299,1267,W,resignation,06/03/2023 11:22,India
1291,1317,L,checkmate,06/03/2023 10:43,Brazil
1299,1290,W,time,06/03/2023 10:33,Russia
1291,1315,L,time,06/03/2023 08:16,Greece
1299,1300,L,time,06/03/2023 06:39,Spain
1307,1253,W,time,05/03/2023 18:26,United States
1300,1349,L,checkmate,05/03/2023 18:16,Mexico
1307,1252,W,checkmate,05/03/2023 17:58,United States
1300,1307,W,time,05/03/2023 17:15,Russia
1291,1298,L,time,05/03/2023 14:32,Brazil
1299,1292,W,time,05/03/2023 13:34,Nigeria
1291,1336,L,time,05/03/2023 13:32,United States
1298,1280,L,time,05/03/2023 11:59,International
1307,1333,L,time,04/03/2023 22:44,Portugal
1315,1331,W,time,04/03/2023 21:59,Turkey
1306,1334,L,checkmate,04/03/2023 21:46,Peru
1314,1372,L,time,04/03/2023 20:14,Italy
1321,1330,L,time,04/03/2023 18:59,Israel
1329,1356,L,time,04/03/2023 18:54,El Salvador
1337,1343,W,time,04/03/2023 18:44,North Macedonia
1328,1329,L,time,04/03/2023 18:37,United Kingdom
1336,1343,L,checkmate,04/03/2023 18:32,Vietnam
1344,1339,W,time,04/03/2023 18:30,Uzbekistan
1336,1381,L,time,04/03/2023 17:13,Italy
1343,1402,W,resignation,04/03/2023 16:10,Italy
