OppRating,Rating,Result,Termination,Datetime,Location
1542,1537,W,checkmate,2023-03-18 19:47:38,United States
1577,1528,L,time,2023-03-18 19:45:26,Serbia
1484,1527,W,checkmate,2023-03-18 19:41:30,Mexico
1502,1520,W,checkmate,2023-03-18 19:24:15,Colombia
1549,1504,L,checkmate,2023-03-18 17:49:53,South Korea
1553,1503,L,checkmate,2023-03-18 15:41:19,United States
1534,1511,L,time,2023-03-18 06:13:06,India
1523,1510,L,time,2023-03-18 04:51:15,India
1517,1518,L,time,2023-03-18 02:03:36,Canada
1533,1526,L,checkmate,2023-03-18 00:43:56,Brazil
1507,1528,W,checkmate,2023-03-18 00:29:43,Poland
1481,1520,D,stalemate,2023-03-18 00:18:45,Egypt
1484,1513,W,resignation,2023-03-17 21:49:01,Canada
1539,1505,L,time,2023-03-17 21:36:57,Peru
1462,1506,W,time,2023-03-17 20:51:45,Ghana
1509,1507,W,time,2023-03-17 20:41:57,Turkey
1468,1492,L,time,2023-03-17 20:14:05,Russia
1478,1500,L,time,2023-03-17 19:59:29,Egypt
1473,1509,W,checkmate,2023-03-17 19:55:04,Malaysia
1476,1501,W,resignation,2023-03-17 19:07:20,North Korea
1473,1500,W,time,2023-03-17 19:00:15,Spain
1458,1477,W,checkmate,2023-03-17 17:01:33,India
1512,1461,L,time,2023-03-17 16:51:51,United Kingdom
1454,1468,L,time,2023-03-17 16:49:41,Greece
1472,1477,W,time,2023-03-17 16:45:30,Jordan
1402,1461,W,time,2023-03-17 02:48:50,Kuwait
1417,1463,W,time,2023-03-16 22:38:03,Scotland
1472,1456,L,time,2023-03-16 22:34:01,United Kingdom
1408,1456,W,time,2023-03-16 22:06:36,Canada
1415,1440,L,checkmate,2023-03-16 21:20:16,United States
1442,1449,W,time,2023-03-16 21:18:02,India
1431,1440,L,time,2023-03-16 17:52:52,Japan
1393,1449,W,time,2023-03-16 17:15:26,India
1389,1442,W,time,2023-03-16 16:45:13,India
1401,1435,W,checkmate,2023-03-16 16:42:38,Ukraine
1404,1427,L,time,2023-03-16 05:19:55,El Salvador
1404,1436,L,time,2023-03-16 04:49:49,Slovenia
1447,1451,L,checkmate,2023-03-16 04:45:45,United States
1438,1460,W,time,2023-03-16 01:10:48,Brazil
1488,1452,L,checkmate,2023-03-16 01:08:43,Mexico
1353,1460,W,checkmate,2023-03-16 01:03:36,United States
1421,1446,W,checkmate,2023-03-15 21:50:39,Canada
1398,1438,W,resignation,2023-03-15 21:49:52,France
1451,1424,L,time,2023-03-15 19:00:11,India
1451,1424,W,resignation,2023-03-15 17:23:39,Germany
1471,1415,L,time,2023-03-15 16:41:23,Lebanon
1460,1431,W,time,2023-03-14 22:38:54,Mexico
1429,1414,L,time,2023-03-14 19:44:32,India
1439,1422,L,time,2023-03-14 19:35:53,United States
1411,1430,W,checkmate,2023-03-14 18:44:43,United Kingdom
1455,1398,L,time,2023-03-13 18:08:54,United States
1415,1389,L,time,2023-03-13 14:01:48,Ukraine
1439,1397,L,time,2023-03-12 19:58:36,United States
1414,1404,L,checkmate,2023-03-12 14:38:02,United Kingdom
1415,1412,L,checkmate,2023-03-12 14:37:43,Sweden
1417,1412,W,time,2023-03-11 22:12:53,United States
1344,1403,W,time,2023-03-11 19:36:11,Ukraine
1382,1402,L,time,2023-03-11 18:54:27,Serbia
1409,1404,W,time,2023-03-11 17:44:23,United States
1402,1396,L,time,2023-03-11 16:52:49,Spain
1382,1404,W,time,2023-03-11 16:50:24,Canada
1395,1405,L,time,2023-03-11 16:01:48,Germany
1424,1414,W,time,2023-03-11 15:58:46,Mexico
1373,1405,W,time,2023-03-11 14:56:25,South Korea
1361,1387,L,time,2023-03-11 13:28:12,Latvia
1433,1396,L,time,2023-03-11 13:09:23,India
1382,1403,L,time,2023-03-11 13:06:37,Belgium
1399,1405,W,resignation,2023-03-11 02:19:47,Canada
1421,1397,W,time,2023-03-11 02:11:03,Saudi Arabia
1441,1388,W,time,2023-03-11 01:55:10,Morocco
1395,1386,W,checkmate,2023-03-10 23:34:44,United States
1413,1363,L,time,2023-03-10 22:31:22,United States
1308,1370,W,time,2023-03-10 22:27:35,Italy
1358,1355,W,time,2023-03-10 21:37:20,Sweden
1335,1347,L,time,2023-03-10 21:33:10,Italy
1286,1363,W,time,2023-03-10 20:02:27,Switzerland
1327,1357,W,time,2023-03-10 18:07:54,Norway
1370,1347,W,time,2023-03-10 16:24:02,Belgium
1291,1346,W,resignation,2023-03-10 15:17:37,United Kingdom
1345,1339,L,checkmate,2023-03-10 13:11:58,French Polynesia
1399,1339,L,checkmate,2023-03-09 22:43:36,United Kingdom
1398,1346,L,time,2023-03-09 22:09:15,England
1326,1353,W,time,2023-03-09 21:35:22,United States
1364,1345,L,time,2023-03-09 18:54:22,Canada
1369,1344,W,time,2023-03-09 18:44:15,United States
