Rating,OppRating,Result,Termination,Datetime,Location
1405,1411,W,time,13/03/2023 17:06,United States
1396,1354,W,checkmate,13/03/2023 14:14,North Macedonia
1404,1383,D,stalemate,12/03/2023 18:49,Russia
1420,1418,W,checkmate,12/03/2023 01:51,United States
1403,1434,L,time,11/03/2023 22:02,United States
1411,1391,W,time,11/03/2023 20:49,United States
1403,1394,W,checkmate,11/03/2023 20:38,Peru
1395,1423,L,time,11/03/2023 20:18,United States
1396,1502,L,time,11/03/2023 19:32,Peru
1411,1350,W,resignation,11/03/2023 18:53,United States
1396,1492,L,time,11/03/2023 16:39,Peru
1397,1418,D,stalemate,11/03/2023 14:44,France
1396,1383,W,time,11/03/2023 14:30,United States
1388,1429,L,time,11/03/2023 14:24,Germany
1395,1389,W,time,11/03/2023 14:17,Iraq
1387,1413,L,checkmate,11/03/2023 14:17,Colombia
1395,1387,W,resignation,11/03/2023 13:33,France
1412,1373,W,abandoned,11/03/2023 02:44,United States
1378,1404,L,checkmate,11/03/2023 01:38,United States
1377,1335,W,time,10/03/2023 23:25,United States
1370,1321,W,time,10/03/2023 23:20,Brazil
1363,1391,L,time,10/03/2023 22:39,Spain
1371,1337,W,checkmate,10/03/2023 22:35,Serbia
1363,1350,W,time,10/03/2023 22:01,Hong Kong
1356,1411,L,time,10/03/2023 21:30,Brazil
1356,1370,D,material,10/03/2023 18:46,India
1356,1320,D,repetition,10/03/2023 18:34,Norway
1349,1412,L,time,10/03/2023 17:51,United States
1356,1371,W,time,10/03/2023 17:45,Ukraine
1338,1358,L,checkmate,10/03/2023 15:52,Brazil
1347,1347,W,time,10/03/2023 13:00,India
1345,1340,L,checkmate,09/03/2023 21:23,Indonesia
1354,1375,W,checkmate,09/03/2023 21:06,United States
1345,1332,W,checkmate,09/03/2023 19:47,Argentina
1337,1346,L,time,09/03/2023 19:42,Switzerland
1353,1373,W,checkmate,09/03/2023 18:48,Brazil
1327,1314,W,time,09/03/2023 18:05,Spain
1318,1265,W,time,08/03/2023 17:28,United States
1302,1323,L,time,08/03/2023 16:50,United States
1309,1317,L,time,08/03/2023 13:59,Tanzania
1317,1337,L,time,08/03/2023 12:44,International
1334,1302,L,time,08/03/2023 12:05,India
1343,1323,L,time,08/03/2023 11:55,France
1352,1316,W,time,08/03/2023 11:37,Egypt
1329,1341,W,resignation,07/03/2023 21:34,Turkey
1320,1318,L,time,07/03/2023 20:11,Bulgaria
1311,1368,L,time,07/03/2023 16:18,United States
1318,1298,D,repetition,06/03/2023 19:02,United States
1319,1309,W,resignation,06/03/2023 18:15,United Kingdom
1311,1263,W,time,06/03/2023 17:46,United Kingdom
1304,1266,W,time,06/03/2023 16:40,Italy
1290,1271,L,time,06/03/2023 15:29,United States
1299,1307,W,resignation,06/03/2023 14:51,Mexico
1292,1302,L,time,06/03/2023 13:35,United States
1291,1317,L,checkmate,06/03/2023 10:43,Brazil
1299,1290,W,time,06/03/2023 10:33,Russia
1291,1315,L,time,06/03/2023 08:16,Greece
1307,1253,W,time,05/03/2023 18:26,United States
1307,1252,W,checkmate,05/03/2023 17:58,United States
1300,1307,W,time,05/03/2023 17:15,Russia
1291,1336,L,time,05/03/2023 13:32,United States
1315,1331,W,time,04/03/2023 21:59,Turkey
1314,1372,L,time,04/03/2023 20:14,Italy
1321,1330,L,time,04/03/2023 18:59,Israel
1329,1356,L,time,04/03/2023 18:54,El Salvador
1328,1329,L,time,04/03/2023 18:37,United Kingdom
1336,1381,L,time,04/03/2023 17:13,Italy
1343,1402,W,resignation,04/03/2023 16:10,Italy
1333,1339,W,checkmate,04/03/2023 16:00,United States
1346,1336,D,stalemate,03/03/2023 23:49,Greenland
1346,1383,L,time,03/03/2023 23:47,Italy
1376,1333,W,time,03/03/2023 21:49,United States
1369,1355,W,resignation,03/03/2023 21:17,South Africa
1361,1397,L,time,03/03/2023 20:39,International
1375,1400,L,time,03/03/2023 20:02,International
1375,1316,W,time,03/03/2023 19:32,United States
1376,1341,W,time,03/03/2023 19:20,United Kingdom
1369,1365,W,resignation,03/03/2023 18:33,Egypt
1369,1359,W,time,03/03/2023 18:10,Singapore
1370,1372,W,checkmate,03/03/2023 18:08,Jordan
1362,1350,W,time,03/03/2023 18:02,Venezuela
1352,1322,W,time,03/03/2023 17:50,Italy
1344,1387,L,time,03/03/2023 16:57,Ireland
1374,1322,W,time,03/03/2023 14:23,Argentina
1376,1425,L,time,03/03/2023 14:19,Israel
1383,1411,L,time,03/03/2023 14:16,United States
1391,1405,W,checkmate,03/03/2023 13:50,France
1391,1351,W,time,03/03/2023 13:41,Georgia
1376,1321,W,checkmate,03/03/2023 13:33,United States
1368,1414,L,checkmate,03/03/2023 13:22,United States
1366,1321,W,time,03/03/2023 13:12,International
1359,1335,L,time,03/03/2023 12:55,Serbia
1368,1364,L,checkmate,03/03/2023 12:47,United Kingdom
1374,1386,L,checkmate,02/03/2023 20:42,Iran
1390,1369,W,time,02/03/2023 20:38,Russia
1373,1330,W,checkmate,02/03/2023 20:35,Australia
1373,1383,W,time,02/03/2023 20:31,United States
1372,1391,L,time,02/03/2023 20:21,International
1389,1394,L,time,02/03/2023 19:36,Sweden
1388,1393,W,checkmate,02/03/2023 17:01,Poland
1372,1380,L,time,02/03/2023 15:09,Uzbekistan
1371,1415,L,time,02/03/2023 14:29,Germany
1378,1339,D,stalemate,02/03/2023 14:25,Italy
1379,1352,W,time,02/03/2023 14:22,Colombia
1377,1398,L,time,02/03/2023 13:42,Turkey
1385,1383,W,time,02/03/2023 13:39,Germany
1385,1421,L,time,02/03/2023 13:32,Russia
1383,1427,D,material,02/03/2023 13:10,Scotland
1382,1369,L,time,02/03/2023 13:04,United States
1391,1330,W,time,02/03/2023 13:01,Belgium
1361,1331,W,time,02/03/2023 00:21,United States
1353,1331,W,checkmate,01/03/2023 22:58,United States
1337,1299,D,material,01/03/2023 22:53,Croatia
1345,1352,W,time,01/03/2023 22:45,United States
1336,1374,L,checkmate,01/03/2023 22:29,Russia
1328,1305,W,time,01/03/2023 21:27,Germany
1312,1264,W,checkmate,01/03/2023 21:22,United States
1306,1341,L,time,01/03/2023 20:03,United States
1321,1301,L,checkmate,01/03/2023 18:30,Argentina
1330,1319,W,time,01/03/2023 18:20,India
1329,1267,W,resignation,01/03/2023 16:59,Colombia
1322,1320,L,time,01/03/2023 16:42,India
1332,1361,L,time,01/03/2023 11:24,Singapore
1351,1375,L,time,01/03/2023 11:18,International
1351,1348,L,resignation,01/03/2023 10:11,United States
1359,1400,W,checkmate,01/03/2023 09:49,Scotland
1341,1322,L,time,28/02/2023 19:35,Costa Rica
1350,1323,L,checkmate,28/02/2023 19:25,International
1368,1382,W,time,28/02/2023 19:21,United States
1367,1404,L,time,28/02/2023 18:24,United States
1375,1298,W,time,28/02/2023 18:18,India
1361,1358,W,resignation,28/02/2023 18:16,Brazil
1353,1367,L,time,28/02/2023 18:14,South Africa
1378,1344,W,checkmate,28/02/2023 18:07,United States
1378,1357,W,resignation,28/02/2023 17:31,Chile
1370,1271,W,time,28/02/2023 16:47,Argentina
1362,1342,W,time,28/02/2023 16:02,International
1354,1320,W,time,28/02/2023 16:00,India
1354,1224,W,time,28/02/2023 15:37,United Kingdom
1349,1325,W,checkmate,28/02/2023 15:34,United States
1349,1396,L,time,28/02/2023 15:17,Venezuela
1356,1381,L,time,28/02/2023 14:46,Indonesia
1348,1375,L,time,28/02/2023 13:02,Brazil
1364,1378,L,time,28/02/2023 12:21,United States
1372,1360,L,time,28/02/2023 12:20,United States
1381,1434,L,time,28/02/2023 12:13,Finland
1379,1373,W,resignation,28/02/2023 12:05,Russia
1370,1351,L,time,28/02/2023 11:45,Netherlands
1379,1382,W,checkmate,28/02/2023 11:10,United States
1379,1385,W,time,28/02/2023 11:06,Iran
1379,1430,L,time,28/02/2023 10:19,Netherlands
1378,1396,L,checkmate,27/02/2023 21:29,Spain
1394,1442,L,time,27/02/2023 20:40,Colombia
1401,1420,W,time,27/02/2023 20:19,Egypt
1392,1384,L,time,27/02/2023 19:35,Brazil
1401,1380,W,checkmate,27/02/2023 19:29,Mexico
1385,1408,L,time,27/02/2023 18:42,Poland
1402,1358,W,resignation,27/02/2023 17:17,Peru
1402,1395,W,resignation,27/02/2023 16:49,Spain
1401,1391,L,checkmate,27/02/2023 12:19,Mexico
1410,1395,W,checkmate,27/02/2023 12:11,South Africa
1393,1417,L,time,26/02/2023 23:18,India
1408,1456,W,time,26/02/2023 23:08,United States
1398,1407,L,time,26/02/2023 23:02,Ukraine
1397,1389,W,time,26/02/2023 22:55,France
1389,1377,W,time,26/02/2023 22:53,United States
1381,1367,W,resignation,26/02/2023 22:51,United States
1365,1332,L,time,26/02/2023 22:30,Norway
1374,1433,L,checkmate,26/02/2023 22:28,France
1388,1344,W,resignation,26/02/2023 21:45,United States
1381,1345,W,checkmate,26/02/2023 21:43,United States
1375,1374,L,time,26/02/2023 21:20,Brazil
1383,1358,L,time,26/02/2023 21:17,United Kingdom
1385,1329,W,resignation,26/02/2023 21:15,United States
1371,1355,L,checkmate,26/02/2023 21:11,Brazil
1372,1390,W,time,26/02/2023 21:07,Turkey
1355,1310,W,time,26/02/2023 21:03,United Kingdom
1339,1378,L,time,26/02/2023 19:31,Nigeria
1346,1305,W,time,26/02/2023 19:29,Japan
1332,1376,L,time,26/02/2023 18:31,United States
1345,1349,W,time,26/02/2023 16:39,Indonesia
1337,1319,L,time,26/02/2023 16:36,United States
1346,1369,W,checkmate,26/02/2023 16:35,United States
1337,1287,W,time,26/02/2023 16:32,United States
1322,1284,W,checkmate,26/02/2023 16:29,Greece
1314,1251,W,checkmate,26/02/2023 14:46,India
1313,1317,W,time,26/02/2023 14:33,India
1305,1364,L,time,26/02/2023 14:28,Russia
1319,1263,W,time,26/02/2023 14:24,Colombia
1312,1349,L,time,26/02/2023 14:21,Malaysia
1319,1282,W,time,26/02/2023 14:16,South Korea
1296,1347,L,time,26/02/2023 13:31,Peru
1310,1319,L,time,25/02/2023 21:12,Peru
1318,1234,W,time,25/02/2023 21:10,United States
1312,1252,W,time,25/02/2023 21:08,United States
1297,1320,L,time,25/02/2023 20:57,Ukraine
1305,1341,L,time,25/02/2023 20:40,International
1301,1279,W,time,25/02/2023 17:55,Australia
1293,1232,W,resignation,25/02/2023 16:08,Greece
1278,1291,W,time,25/02/2023 15:59,Austria
1269,1300,W,checkmate,25/02/2023 15:51,United States
1269,1248,L,time,25/02/2023 15:16,United Arab Emirates
1286,1346,L,time,25/02/2023 15:09,Latvia
1302,1320,L,time,24/02/2023 15:46,Italy
1302,1281,D,material,24/02/2023 14:55,Turkey
1311,1259,W,time,24/02/2023 11:54,United States
1304,1284,W,time,24/02/2023 11:23,Iran
1288,1353,W,time,24/02/2023 04:44,Philippines
1278,1220,W,resignation,24/02/2023 04:43,United Kingdom
1263,1258,W,time,24/02/2023 00:27,Peru
1247,1271,W,checkmate,23/02/2023 19:01,Netherlands
1238,1209,W,time,23/02/2023 18:36,Israel
1239,1238,L,resignation,23/02/2023 17:57,Russia
1246,1226,L,time,22/02/2023 21:27,United States
1255,1305,L,time,22/02/2023 20:37,Italy
1261,1239,W,time,22/02/2023 16:56,United Kingdom
1253,1249,L,time,22/02/2023 13:14,Brazil
1270,1292,L,checkmate,22/02/2023 00:06,United States
1261,1219,W,checkmate,21/02/2023 22:23,Canada
1254,1267,D,stalemate,21/02/2023 22:19,Spain
1254,1274,W,time,21/02/2023 19:54,United States
1254,1212,W,checkmate,21/02/2023 18:33,Brazil
1264,1299,D,material,21/02/2023 15:09,Czech Republic
1272,1280,W,time,20/02/2023 16:18,Egypt
1263,1332,W,checkmate,20/02/2023 15:45,United States
1244,1183,W,checkmate,20/02/2023 14:12,India
1237,1252,L,time,20/02/2023 13:47,Brazil
1237,1212,W,time,20/02/2023 05:50,Philippines
1238,1230,L,time,20/02/2023 05:19,Canada
1240,1300,L,time,20/02/2023 05:09,United States
1247,1233,L,checkmate,20/02/2023 05:08,Australia
1256,1295,L,time,19/02/2023 19:16,India
1272,1251,W,checkmate,19/02/2023 18:13,United States
1257,1226,W,checkmate,18/02/2023 22:00,Spain
1251,1257,W,resignation,18/02/2023 18:38,Italy
1234,1201,W,checkmate,18/02/2023 16:07,Thailand
1218,1275,L,checkmate,18/02/2023 15:48,Croatia
1225,1253,L,time,18/02/2023 15:39,Ukraine
1233,1202,W,time,18/02/2023 14:26,United States
1240,1236,L,time,17/02/2023 20:37,Canada
1264,1311,L,time,17/02/2023 01:31,United States
1271,1249,L,time,16/02/2023 21:35,Argentina
1272,1252,W,checkmate,16/02/2023 17:36,United States
1264,1244,W,checkmate,16/02/2023 16:30,Spain
1256,1307,L,time,16/02/2023 14:11,Germany
1263,1315,L,time,16/02/2023 12:39,Spain
1277,1255,W,checkmate,15/02/2023 17:30,Turkey
1261,1314,L,time,15/02/2023 14:06,United States
1279,1273,L,checkmate,15/02/2023 10:35,Russia
1288,1286,L,time,15/02/2023 09:22,India
1295,1252,W,checkmate,14/02/2023 18:00,Turkey
1297,1301,W,checkmate,14/02/2023 13:56,Canada
1288,1321,D,material,14/02/2023 10:44,United Kingdom
1287,1313,L,time,14/02/2023 10:22,France
1303,1269,W,time,13/02/2023 19:08,Spain
1286,1235,W,resignation,13/02/2023 18:29,United States
1288,1298,L,time,13/02/2023 16:36,France
1296,1294,W,time,12/02/2023 20:10,Brazil
1305,1294,L,time,12/02/2023 13:33,Italy
1314,1349,L,time,12/02/2023 13:22,Turkey
1314,1325,L,time,12/02/2023 00:30,United States
1330,1323,L,time,12/02/2023 00:15,Belgium
1347,1315,W,resignation,11/02/2023 21:04,Brazil
1330,1319,L,checkmate,11/02/2023 20:36,Italy
1338,1323,L,time,11/02/2023 15:39,Germany
1330,1337,W,checkmate,11/02/2023 15:29,Israel
1321,1276,W,checkmate,11/02/2023 15:03,Poland
1314,1285,L,time,11/02/2023 14:54,United States
1331,1280,W,checkmate,10/02/2023 18:51,United States
1332,1357,L,time,10/02/2023 16:11,Italy
1355,1358,W,resignation,10/02/2023 12:13,India
1354,1398,L,time,09/02/2023 21:35,International
1361,1349,W,time,09/02/2023 21:33,Mexico
1353,1404,L,time,09/02/2023 20:25,Mexico
1360,1331,W,checkmate,09/02/2023 20:09,United States
1352,1353,W,checkmate,09/02/2023 15:43,India
1336,1299,W,checkmate,09/02/2023 13:55,Netherlands
1328,1345,L,time,08/02/2023 12:44,Philippines
1328,1386,L,time,06/02/2023 19:34,Iran
1335,1332,W,resignation,06/02/2023 19:32,Mexico
1327,1336,W,checkmate,06/02/2023 19:31,United Kingdom
1325,1432,L,time,06/02/2023 17:39,Russia
1330,1308,L,time,06/02/2023 15:56,Iran
1331,1357,L,time,06/02/2023 08:38,United States
1339,1397,L,time,05/02/2023 22:15,Peru
1339,1316,L,time,04/02/2023 15:27,Colombia
